experiment_id,model_name,task,dataset,device,num_samples,matched_samples,accuracy,runtime_with_model_loading_seconds,runtime_without_model_loading_seconds,notes
1,j-hartmann/emotion-english-distilroberta-base,seven-emotion classification,GoEmotions 7-class test split,CPU,2160,1340,0.6204,8.5547,7.2715,"pre-tuning public baseline; refreshed after 5,000/1,000 split expansion"
2,chase1zhang/youtube-emotion-distilbert,seven-emotion classification,GoEmotions 7-class test split,CPU,2160,1864,0.863,7.0266,6.9104,"GoEmotions fine-tuned DistilBERT; refreshed after 5,000/1,000 split expansion"
3,chase1zhang/youtube-emotion-distilbert-domain-adapted,seven-emotion classification,GoEmotions 7-class test split,CPU,2160,1498,0.6935,7.0762,7.0058,"YouTube-domain adapted DistilBERT; refreshed after 5,000/1,000 split expansion"
4,cardiffnlp/twitter-roberta-base-sentiment-latest,sentiment classification,GoEmotions 7-class test split,CPU,2160,1176,0.5444,15.401,14.2865,"supporting sentiment pipeline; refreshed after 5,000/1,000 split expansion"
5,lxyuan/distilbert-base-multilingual-cased-sentiments-student,sentiment classification,GoEmotions 7-class test split,CPU,2160,571,0.2644,9.0093,7.805,"alternative sentiment model 1; refreshed after 5,000/1,000 split expansion"
6,finiteautomata/bertweet-base-sentiment-analysis,sentiment classification,GoEmotions 7-class test split,CPU,2160,0,0.0,15.5996,14.1876,"alternative sentiment model 2; refreshed after 5,000/1,000 split expansion"
